trial,Pos.,Neu.,Neg.,Summary
Diana Trujillo T132,0.0,1.0,0.0,0.0
Diana Trujillo T133,0.0,1.0,0.0,0.0
Diana Trujillo T134,0.0,0.789,0.211,-0.4939
Diana Trujillo T135,0.13,0.87,0.0,0.34
Diana Trujillo T136,0.0,1.0,0.0,0.0
Diana Trujillo T137,0.286,0.714,0.0,0.4215
Diana Trujillo T138,0.0,1.0,0.0,0.0
Diana Trujillo T139,0.0,1.0,0.0,0.0
Diana Trujillo T140,0.0,1.0,0.0,0.0
Diana Trujillo T141,0.0,1.0,0.0,0.0
Diana Trujillo T142,0.0,1.0,0.0,0.0
Diana Trujillo T143,0.0,1.0,0.0,0.0
Diana Trujillo T144,0.0,1.0,0.0,0.0
Diana Trujillo T145,0.0,1.0,0.0,0.0
Diana Trujillo T146,0.0,1.0,0.0,0.0
Diana Trujillo T147,0.0,1.0,0.0,0.0
Diana Trujillo T148,0.0,0.855,0.145,-0.296
Diana Trujillo T149,0.0,1.0,0.0,0.0
Diana Trujillo T0,0.0,1.0,0.0,0.0
Mae Jemison T1,0.172,0.828,0.0,0.3252
Mae Jemison T2,0.218,0.782,0.0,0.5994
Mae Jemison T3,0.27,0.73,0.0,0.3252
Mae Jemison T4,0.176,0.824,0.0,0.4939
Mae Jemison T5,0.282,0.718,0.0,0.7096
Mae Jemison T6,0.0,1.0,0.0,0.0
Mae Jemison T7,0.163,0.837,0.0,0.5719
Mae Jemison T8,0.0,1.0,0.0,0.0
Mae Jemison T9,0.163,0.837,0.0,0.5719
Mae Jemison T10,0.226,0.774,0.0,0.5859
Mae Jemison T11,0.0,1.0,0.0,0.0
Mae Jemison T12,0.214,0.786,0.0,0.4588
Mae Jemison T13,0.262,0.738,0.0,0.7964
Mae Jemison T14,0.157,0.843,0.0,0.4215
Mae Jemison T15,0.167,0.833,0.0,0.34
Mae Jemison T16,0.0,1.0,0.0,0.0
Mae Jemison T17,0.232,0.768,0.0,0.5622
Mae Jemison T18,0.0,0.774,0.226,-0.4215
Mae Jemison T19,0.0,0.703,0.297,-0.4215
Mae Jemison T20,0.082,0.784,0.134,-0.34
Mae Jemison T21,0.0,1.0,0.0,0.0
Mae Jemison T22,0.183,0.817,0.0,0.5563
Mae Jemison T23,0.0,0.817,0.183,-0.4215
Mae Jemison T24,0.216,0.784,0.0,0.5562
Mae Jemison T25,0.439,0.561,0.0,0.8225
Mae Jemison T26,0.294,0.706,0.0,0.3252
Mae Jemison T27,0.288,0.712,0.0,0.5622
Mae Jemison T28,0.0,1.0,0.0,0.0
Mae Jemison T29,0.06,0.82,0.12,-0.2732
Mae Jemison T30,0.0,1.0,0.0,0.0
Mae Jemison T31,0.0,1.0,0.0,0.0
Mae Jemison T32,0.0,1.0,0.0,0.0
Mae Jemison T33,0.254,0.746,0.0,0.6249
Mae Jemison T34,0.0,1.0,0.0,0.0
Mae Jemison T35,0.0,1.0,0.0,0.0
Mae Jemison T36,0.469,0.531,0.0,0.8658
Mae Jemison T37,0.457,0.543,0.0,0.8442
Mae Jemison T38,0.144,0.856,0.0,0.4939
Mae Jemison T39,0.0,1.0,0.0,0.0
Mae Jemison T40,0.235,0.765,0.0,0.673
Mae Jemison T41,0.317,0.683,0.0,0.7579
Mae Jemison T42,0.0,1.0,0.0,0.0
Mae Jemison T43,0.058,0.942,0.0,0.0258
Mae Jemison T44,0.104,0.896,0.0,0.2732
Mae Jemison T45,0.0,0.798,0.202,-0.4215
Mae Jemison T46,0.0,1.0,0.0,0.0
Mae Jemison T47,0.0,0.817,0.183,-0.4215
Mae Jemison T48,0.192,0.808,0.0,0.3252
Mae Jemison T49,0.13,0.741,0.13,0.0
Mae Jemison T50,0.0,0.863,0.137,-0.2263
Mae Jemison T51,0.474,0.526,0.0,0.9371
Mae Jemison T52,0.239,0.761,0.0,0.6588
Mae Jemison T53,0.0,1.0,0.0,0.0
Mae Jemison T54,0.0,1.0,0.0,0.0
Mae Jemison T55,0.0,1.0,0.0,0.0
Mae Jemison T56,0.0,0.571,0.429,-0.4588
Mae Jemison T57,0.072,0.928,0.0,0.1027
Mae Jemison T58,0.258,0.624,0.118,0.2838
Mae Jemison T59,0.42,0.58,0.0,0.8038
Mae Jemison T60,0.184,0.816,0.0,0.4019
Mae Jemison T61,0.0,1.0,0.0,0.0
Mae Jemison T62,0.0,1.0,0.0,0.0
Mae Jemison T63,0.0,1.0,0.0,0.0
Mae Jemison T64,0.0,1.0,0.0,0.0
Mae Jemison T65,0.0,1.0,0.0,0.0
Mae Jemison T66,0.048,0.952,0.0,0.0772
Mae Jemison T67,0.0,1.0,0.0,0.0
Mae Jemison T68,0.075,0.837,0.088,-0.0772
Mae Jemison T69,0.27,0.73,0.0,0.3252
Mae Jemison T70,0.0,1.0,0.0,0.0
Mae Jemison T71,0.0,0.0,0.0,0.0
Mae Jemison T72,0.469,0.531,0.0,0.8658
